,date,open,high,low,close,volume,capitalization,currency,secid
1839,2003-02-10,2.9102,2.9102,2.9102,2.9102,0.0,0.0,USD,STOOQ:rubeur
1840,2003-02-11,2.9493,2.9493,2.9493,2.9493,0.0,0.0,USD,STOOQ:rubeur
1841,2003-02-12,2.9354,2.9354,2.9354,2.9354,0.0,0.0,USD,STOOQ:rubeur
1842,2003-02-13,2.931,2.931,2.931,2.931,0.0,0.0,USD,STOOQ:rubeur
1843,2003-02-14,2.9205,2.9205,2.9205,2.9205,0.0,0.0,USD,STOOQ:rubeur
1844,2003-02-17,2.96,2.96,2.96,2.96,0.0,0.0,USD,STOOQ:rubeur
1845,2003-02-18,2.955,2.955,2.955,2.955,0.0,0.0,USD,STOOQ:rubeur
1846,2003-02-19,2.9521,2.9521,2.9521,2.9521,0.0,0.0,USD,STOOQ:rubeur
1847,2003-02-20,2.9446,2.9446,2.9446,2.9446,0.0,0.0,USD,STOOQ:rubeur
1848,2003-02-21,2.9213,2.9213,2.9213,2.9213,0.0,0.0,USD,STOOQ:rubeur
1849,2003-02-24,2.9463,2.9463,2.9463,2.9463,0.0,0.0,USD,STOOQ:rubeur
1850,2003-02-25,2.9306,2.9306,2.9306,2.9306,0.0,0.0,USD,STOOQ:rubeur
1851,2003-02-26,2.9407,2.9407,2.9407,2.9407,0.0,0.0,USD,STOOQ:rubeur
1852,2003-02-27,2.9334,2.9334,2.9334,2.9334,0.0,0.0,USD,STOOQ:rubeur
1853,2003-02-28,2.9442,2.9442,2.9442,2.9442,0.0,0.0,USD,STOOQ:rubeur
1854,2003-03-03,2.934,2.934,2.934,2.934,0.0,0.0,USD,STOOQ:rubeur
1855,2003-03-04,2.8985,2.8985,2.8985,2.8985,0.0,0.0,USD,STOOQ:rubeur
1856,2003-03-05,2.8841,2.8841,2.8841,2.8841,0.0,0.0,USD,STOOQ:rubeur
1857,2003-03-06,2.8917,2.8917,2.8917,2.8917,0.0,0.0,USD,STOOQ:rubeur
1858,2003-03-07,2.8736,2.8736,2.8736,2.8736,0.0,0.0,USD,STOOQ:rubeur
1859,2003-03-10,2.8725,2.8725,2.8725,2.8725,0.0,0.0,USD,STOOQ:rubeur
1860,2003-03-11,2.875,2.875,2.875,2.875,0.0,0.0,USD,STOOQ:rubeur
1861,2003-03-12,2.8883,2.8883,2.8883,2.8883,0.0,0.0,USD,STOOQ:rubeur
