,date,secid,open,close,low,high,volume,currency,capitalization
1537,2001-10-22,RTSI,193.31,196.89,193.31,196.89,8840401,USD,45697273491.385
1538,2001-10-23,RTSI,195.21,198.16,195.05,198.16,18664878,USD,46165541062.2128
1539,2001-10-24,RTSI,197.39,198.57,197.39,200.3,17688290,USD,46260221716.1737
1540,2001-10-25,RTSI,200.19,195.81,195.81,200.2,10548185,USD,45617217031.6929
1541,2001-10-26,RTSI,197.35,199.09,197.26,199.09,5147472,USD,46381545587.5852
1542,2001-10-29,RTSI,200.52,201.04,199.43,201.04,8989704,USD,46836844124.1194
1543,2001-10-30,RTSI,200.74,204.71,200.74,204.8,18639004,USD,47692061930.2281
1544,2001-10-31,RTSI,205.39,204.04,203.46,205.39,10291690,USD,47536408013.0304
1545,2001-11-01,RTSI,203.62,204.13,202.89,204.28,10280998,USD,47556231383.7524
1546,2001-11-02,RTSI,204.38,203.52,203.37,207,21302276,USD,47414763912.1748
1547,2001-11-05,RTSI,205.23,211.53,205.23,211.53,22747939,USD,49281525057.4756
1548,2001-11-06,RTSI,212.25,207.36,207.36,212.25,10642982,USD,48308874563.3477
1549,2001-11-08,RTSI,209.82,219,209.82,219,26647638,USD,51021691039.3594
1550,2001-11-09,RTSI,219.53,225.04,218.99,226.13,25221165,USD,52428468819.6795
1551,2001-11-12,RTSI,231.05,223.97,223.97,233.3,30314798,USD,52177800726.2968
1552,2001-11-13,RTSI,226.75,236.53,226.61,236.53,23762967,USD,55104407145.4203
1553,2001-11-14,RTSI,243.14,229.33,229.33,243.14,32641279,USD,53427420467.3409
1554,2001-11-15,RTSI,219.33,215.56,215.13,219.33,28872819,USD,50220125545.844
1555,2001-11-16,RTSI,212.4,212.73,212.4,214.65,23133366,USD,49560020600.9708
1556,2001-11-19,RTSI,213.75,216.15,213.75,217.19,10522870,USD,50356163347.0903
1557,2001-11-20,RTSI,218.51,221.06,218.51,221.26,24151439,USD,51500521946.0662
1558,2001-11-21,RTSI,221.82,218.37,218.21,222.53,13730613,USD,50873209537.3639
1559,2001-11-22,RTSI,219.37,229.61,219.37,229.61,15367794,USD,53523501380.8411
1560,2001-11-23,RTSI,231.05,225.72,222.99,231.16,15125119,USD,52618063365.1748
1561,2001-11-26,RTSI,225.93,226.12,225.93,229.64,14910182,USD,52709879126.6016
1562,2001-11-27,RTSI,227.18,226.67,225.65,229.02,14829635,USD,52838755859.7745
1563,2001-11-28,RTSI,226.08,223.88,223.88,226.19,11054134,USD,52188181927.8787
1564,2001-11-29,RTSI,222.28,223.58,221.12,223.58,6712464,USD,52119856653.0057
1565,2001-11-30,RTSI,227.81,226.49,225.93,227.81,12275534,USD,52797436375.8866
1566,2001-12-03,RTSI,227.74,227.01,225.81,227.83,6885135,USD,52919065264.1541
1567,2001-12-04,RTSI,231.21,234.99,231.21,234.99,24238735,USD,54777953532.7718
1568,2001-12-05,RTSI,235.23,234.42,234.42,236.64,19181031,USD,54645072036.8166
1569,2001-12-06,RTSI,238.03,241.3,238.03,241.3,18892004,USD,56250480488.6157
1570,2001-12-07,RTSI,237.59,238.42,236.98,238.42,8608896,USD,55578103167.0837
1571,2001-12-10,RTSI,240.24,240.56,240.24,241.33,7689918,USD,56076027319.6121
1572,2001-12-11,RTSI,241.14,241.92,241.14,242.2,18936695,USD,56393817283.7761
1573,2001-12-13,RTSI,238.63,231.15,231.15,238.63,22679427,USD,53883352171.2961
1574,2001-12-14,RTSI,230.3,229.39,228.41,230.3,12795286,USD,53473269445.3275
1575,2001-12-17,RTSI,232.77,235.48,232.77,235.48,11077374,USD,54892704256.137
1576,2001-12-18,RTSI,236.3,237.68,236.3,238.37,12052083,USD,55406500945.6689
1577,2001-12-19,RTSI,238.39,242.84,238.39,243.45,27183658,USD,56607572796.9985
1578,2001-12-20,RTSI,243.02,247.24,243.02,248.08,25374255,USD,57634563327.0359
1579,2001-12-21,RTSI,243.89,248.47,243.62,248.47,14375617,USD,57921624447.5779
1580,2001-12-24,RTSI,250.82,252.73,250.82,254.37,13213611,USD,58914768260.8839
1581,2001-12-25,RTSI,251.83,250.2,250.2,251.83,5689715,USD,58323676827.2257
1582,2001-12-26,RTSI,250.47,251.95,250.14,252.02,4459531,USD,58732986632.4358
1583,2001-12-27,RTSI,252.85,254.38,252.83,254.59,9485212,USD,59297772139.5948
1584,2001-12-28,RTSI,256.53,256.75,256.41,257.69,10741913,USD,59851747740.5665
1585,2001-12-29,RTSI,257.7,260.05,257.7,260.05,3478606,USD,60619880330.7341
1586,2002-01-03,RTSI,262.03,267.7,262.03,267.7,16223314,USD,62352150863.9854
1587,2002-01-04,RTSI,271.81,276.85,271.76,276.85,28130579,USD,64482217317.7286
1588,2002-01-08,RTSI,282.15,288.72,282.15,290.06,37962231,USD,67248391965.8592
1589,2002-01-09,RTSI,286.07,290.67,286.07,292.54,29329057,USD,67701117673.075
1590,2002-01-10,RTSI,289.22,286.59,285.58,289.22,17822094,USD,66753024293.3629
1591,2002-01-11,RTSI,287.42,290.86,287.42,290.86,15034332,USD,67746412405.1646
1592,2002-01-14,RTSI,284.75,281.99,281.99,284.75,16085103,USD,65681149847.7772
1593,2002-01-15,RTSI,278.08,283.8,277.34,283.8,18904595,USD,66103181961.2857
1594,2002-01-16,RTSI,283.23,282.98,282.98,287.16,17510061,USD,65910000686.0301
1595,2002-01-17,RTSI,283.4,289.53,283.4,289.57,24682451,USD,67435895285.7851
1596,2002-01-18,RTSI,292.03,289.75,288.6,292.03,15952307,USD,67488432666.3882
1597,2002-01-21,RTSI,291.24,293.13,291.24,294.18,13167488,USD,68274459120.2994
1598,2002-01-22,RTSI,293.87,301.45,293.87,301.45,20552449,USD,70211911398.3104
1599,2002-01-23,RTSI,299.72,295.96,295.96,300.46,19038143,USD,68934231763.5503
1600,2002-01-24,RTSI,291.37,282.79,282.79,291.37,28127811,USD,65867898671.2682
1601,2002-01-25,RTSI,281.59,278.34,278.34,284.33,23049642,USD,64830084756.5659
1602,2002-01-28,RTSI,279.81,283.39,279.81,283.91,18343686,USD,66006173458.1502
1603,2002-01-29,RTSI,286.31,294.22,286.06,294.59,28049505,USD,68529893876.1088
1604,2002-01-30,RTSI,286.39,283.68,281.39,286.39,17911242,USD,66074640846.7474
1605,2002-01-31,RTSI,287.39,287.53,285.74,288.4,13770554,USD,66970433291.884
1606,2002-02-01,RTSI,290.34,288.01,288.01,290.91,13777338,USD,67081574145.2026
1607,2002-02-04,RTSI,286.67,288.65,285.87,288.65,14147000,USD,67232363591.5315
1608,2002-02-05,RTSI,284.26,285.82,284.26,286.31,11221332,USD,66573572233.8619
1609,2002-02-06,RTSI,289.21,292.76,288.99,292.76,19363729,USD,68188902187.1974
1610,2002-02-07,RTSI,291.98,294.41,291.93,295.35,18757000,USD,68573163562.6144
